column_id	size	score	vertices
0	4	251	1 6 39 94
1	4	251	1 6 39 231
2	4	251	1 55 181 230
3	4	251	2 39 40 148
4	4	251	2 39 40 249
5	4	251	2 39 131 249
6	4	251	2 40 75 148
7	4	251	2 208 230 249
8	4	251	5 48 79 234
9	4	251	5 48 114 229
10	4	251	5 48 114 234
11	4	251	5 58 158 216
12	4	251	5 74 76 162
13	4	251	5 146 152 176
14	4	251	6 29 138 184
15	4	251	6 48 229 232
16	4	251	7 81 95 109
17	4	251	7 95 109 244
18	4	251	7 106 124 246
19	4	251	9 21 60 174
20	4	251	9 54 87 233
21	4	251	9 84 219 239
22	4	251	9 164 211 235
23	4	251	9 167 211 235
24	4	251	10 15 46 130
25	4	251	10 130 152 204
26	4	251	10 143 158 218
27	4	251	11 41 214 225
28	4	251	11 103 202 228
29	4	251	12 20 29 75
30	4	251	12 159 196 230
31	4	251	13 19 76 162
32	4	251	15 46 86 97
33	4	251	16 112 186 222
34	4	251	16 112 200 222
35	4	251	16 145 182 220
36	4	251	17 43 50 157
37	4	251	17 45 50 233
38	4	251	18 42 104 175
39	4	251	23 47 145 243
40	4	251	23 114 124 168
41	4	251	23 124 168 207
42	4	251	25 87 156 194
43	4	251	26 48 79 105
44	4	251	26 57 96 215
45	4	251	26 96 142 215
46	4	251	27 78 91 174
47	4	251	27 163 207 220
48	4	251	27 207 220 250
49	4	251	28 108 152 201
50	4	251	28 167 194 218
51	4	251	28 167 218 238
52	4	251	29 57 149 230
53	4	251	29 65 140 170
54	4	251	31 44 225 237
55	4	251	31 134 197 200
56	4	251	31 197 200 213
57	4	251	33 77 83 195
58	4	251	33 129 158 218
59	4	251	34 56 219 236
60	4	251	35 44 113 234
61	4	251	35 106 113 234
62	4	251	36 138 152 184
63	4	251	36 146 152 204
64	4	251	39 44 113 234
65	4	251	39 44 164 211
66	4	251	39 52 70 136
67	4	251	39 70 227 249
68	4	251	39 131 136 238
69	4	251	40 53 61 158
70	4	251	41 106 141 181
71	4	251	42 53 91 142
72	4	251	42 53 142 176
73	4	251	44 67 164 211
74	4	251	46 124 200 246
75	4	251	48 102 143 234
76	4	251	48 180 200 217
77	4	251	49 81 193 229
78	4	251	49 81 211 229
79	4	251	49 97 211 224
80	4	251	54 130 152 217
81	4	251	58 81 115 197
82	4	251	58 81 134 197
83	4	251	59 94 157 178
84	4	251	63 87 110 237
85	4	251	63 87 194 237
86	4	251	63 111 181 188
87	4	251	63 111 181 221
88	4	251	63 139 209 227
89	4	251	64 97 112 222
90	4	251	64 112 114 222
91	4	251	65 67 140 170
92	4	251	67 101 125 198
93	4	251	67 164 211 235
94	4	251	68 72 92 126
95	4	251	71 87 180 200
96	4	251	71 87 193 200
97	4	251	71 124 200 213
98	4	251	72 110 119 192
99	4	251	74 76 94 162
100	4	251	76 81 94 205
101	4	251	81 94 116 196
102	4	251	81 116 134 196
103	4	251	81 134 197 200
104	4	251	81 193 200 222
105	4	251	81 197 200 211
106	4	251	81 200 222 241
107	4	251	83 142 187 188
108	4	251	83 142 208 215
109	4	251	83 183 187 226
110	4	251	84 192 219 239
111	4	251	86 112 186 198
112	4	251	87 101 233 244
113	4	251	87 156 194 237
114	4	251	99 105 118 175
115	4	251	99 105 118 246
116	4	251	102 106 143 234
117	4	251	102 143 188 243
118	4	251	104 156 171 206
119	4	251	106 160 184 226
120	4	251	111 114 124 214
121	4	251	111 181 221 230
122	4	251	114 177 214 229
123	4	251	117 220 225 244
124	4	251	118 167 211 238
125	4	251	130 135 138 152
126	4	251	143 188 198 243
127	4	251	151 158 182 186
128	4	251	156 171 206 210
129	4	251	156 194 206 210
130	4	251	167 202 218 238
131	4	251	167 211 235 238
132	4	251	181 208 221 230
133	4	251	191 205 232 250
134	4	251	192 219 239 249
135	3	1	1 6 39
136	3	1	1 6 94
137	3	1	1 6 230
138	3	1	1 6 231
139	3	1	1 18 55
140	3	1	1 23 43
141	3	1	1 39 94
142	3	1	1 39 231
143	3	1	1 43 163
144	3	1	1 43 230
145	3	1	1 55 163
146	3	1	1 55 181
147	3	1	1 55 230
148	3	1	1 72 130
149	3	1	1 72 174
150	3	1	1 83 225
151	3	1	1 90 155
152	3	1	1 90 225
153	3	1	1 90 230
154	3	1	1 94 181
155	3	1	1 123 225
156	3	1	1 155 218
157	3	1	1 181 230
158	3	1	1 218 230
159	3	1	2 26 48
160	3	1	2 26 96
161	3	1	2 26 131
162	3	1	2 34 230
163	3	1	2 36 138
164	3	1	2 36 230
165	3	1	2 39 40
166	3	1	2 39 131
167	3	1	2 39 147
168	3	1	2 39 148
169	3	1	2 39 249
170	3	1	2 40 53
171	3	1	2 40 75
172	3	1	2 40 148
173	3	1	2 40 166
174	3	1	2 40 249
175	3	1	2 48 226
176	3	1	2 68 147
177	3	1	2 68 148
178	3	1	2 68 169
179	3	1	2 73 230
180	3	1	2 75 96
181	3	1	2 75 141
182	3	1	2 75 148
183	3	1	2 96 110
184	3	1	2 96 169
185	3	1	2 110 145
186	3	1	2 110 193
187	3	1	2 131 249
188	3	1	2 138 141
189	3	1	2 138 148
190	3	1	2 138 166
191	3	1	2 138 249
192	3	1	2 141 145
193	3	1	2 141 147
194	3	1	2 141 169
195	3	1	2 145 205
196	3	1	2 147 208
197	3	1	2 193 249
198	3	1	2 205 249
199	3	1	2 208 230
200	3	1	2 208 249
201	3	1	2 230 249
202	3	1	5 8 32
203	3	1	5 8 48
204	3	1	5 9 54
205	3	1	5 9 114
206	3	1	5 16 38
207	3	1	5 16 76
208	3	1	5 16 79
209	3	1	5 16 152
210	3	1	5 16 194
211	3	1	5 32 76
212	3	1	5 38 229
213	3	1	5 48 79
214	3	1	5 48 114
215	3	1	5 48 229
216	3	1	5 48 234
217	3	1	5 54 152
218	3	1	5 58 120
219	3	1	5 58 134
220	3	1	5 58 158
221	3	1	5 58 216
222	3	1	5 70 152
223	3	1	5 70 216
224	3	1	5 72 119
225	3	1	5 72 229
226	3	1	5 74 76
227	3	1	5 74 114
228	3	1	5 74 146
229	3	1	5 74 162
230	3	1	5 76 162
231	3	1	5 79 234
232	3	1	5 86 114
233	3	1	5 114 158
234	3	1	5 114 229
235	3	1	5 114 234
236	3	1	5 117 119
237	3	1	5 117 162
238	3	1	5 117 234
239	3	1	5 120 234
240	3	1	5 146 152
241	3	1	5 146 176
242	3	1	5 152 176
243	3	1	5 158 216
244	3	1	5 162 229
245	3	1	6 19 67
246	3	1	6 19 133
247	3	1	6 19 142
248	3	1	6 25 67
249	3	1	6 25 133
250	3	1	6 29 39
251	3	1	6 29 133
252	3	1	6 29 138
253	3	1	6 29 170
254	3	1	6 29 184
255	3	1	6 29 193
256	3	1	6 29 230
257	3	1	6 39 94
258	3	1	6 39 147
259	3	1	6 39 231
260	3	1	6 39 232
261	3	1	6 48 137
262	3	1	6 48 217
263	3	1	6 48 229
264	3	1	6 48 232
265	3	1	6 67 170
266	3	1	6 94 157
267	3	1	6 106 126
268	3	1	6 106 184
269	3	1	6 106 229
270	3	1	6 106 230
271	3	1	6 118 147
