column_id	size	score	vertices
0	4	251	1 6 39 94
1	4	251	1 6 39 231
2	4	251	1 55 181 230
3	4	251	2 39 40 148
4	4	251	2 39 40 249
5	4	251	2 39 131 249
6	4	251	2 40 75 148
7	4	251	2 208 230 249
8	4	251	3 7 65 246
9	4	251	3 7 87 244
10	4	251	3 7 95 244
11	4	251	3 7 124 246
12	4	251	3 11 225 244
13	4	251	3 20 29 30
14	4	251	3 39 70 152
15	4	251	3 39 131 238
16	4	251	3 39 186 238
17	4	251	3 42 131 184
18	4	251	3 69 88 154
19	4	251	3 69 88 223
20	4	251	3 69 88 238
21	4	251	3 69 154 223
22	4	251	3 78 154 174
23	4	251	3 84 144 154
24	4	251	3 87 101 244
25	4	251	3 88 131 238
26	4	251	3 88 154 223
27	4	251	3 88 154 226
28	4	251	3 118 238 248
29	4	251	3 154 184 226
30	4	251	4 17 92 148
31	4	251	4 30 40 51
32	4	251	4 30 51 223
33	4	251	4 40 51 148
34	4	251	5 48 79 234
35	4	251	5 48 114 229
36	4	251	5 48 114 234
37	4	251	5 58 158 216
38	4	251	5 74 76 162
39	4	251	5 146 152 176
40	4	251	6 29 138 184
41	4	251	6 48 229 232
42	4	251	7 81 95 109
43	4	251	7 95 109 244
44	4	251	7 106 124 246
45	4	251	9 21 60 174
46	4	251	9 54 87 233
47	4	251	9 84 219 239
48	4	251	9 164 211 235
49	4	251	9 167 211 235
50	4	251	10 15 46 130
51	4	251	10 130 152 204
52	4	251	10 143 158 218
53	4	251	11 41 214 225
54	4	251	11 103 202 228
55	4	251	12 20 29 51
56	4	251	12 20 29 75
57	4	251	12 88 163 179
58	4	251	12 159 196 230
59	4	251	13 19 76 162
60	4	251	15 46 86 97
61	4	251	16 112 186 222
62	4	251	16 112 200 222
63	4	251	16 145 182 220
64	4	251	17 43 50 157
65	4	251	17 45 50 233
66	4	251	18 42 104 175
67	4	251	20 29 30 51
68	4	251	23 47 145 243
69	4	251	23 114 124 168
70	4	251	23 124 168 207
71	4	251	25 87 156 194
72	4	251	26 48 79 105
73	4	251	26 57 96 215
74	4	251	26 96 142 215
75	4	251	27 78 91 174
76	4	251	27 163 207 220
77	4	251	27 207 220 250
78	4	251	28 88 179 238
79	4	251	28 108 152 201
80	4	251	28 167 194 218
81	4	251	28 167 218 238
82	4	251	29 57 149 230
83	4	251	29 65 140 170
84	4	251	30 51 176 223
85	4	251	31 44 225 237
86	4	251	31 134 197 200
87	4	251	31 197 200 213
88	4	251	33 69 120 126
89	4	251	33 69 126 209
90	4	251	33 77 83 195
91	4	251	33 129 158 218
92	4	251	34 56 219 236
93	4	251	35 44 113 234
94	4	251	35 106 113 234
95	4	251	36 90 223 245
96	4	251	36 138 152 184
97	4	251	36 146 152 204
98	4	251	39 44 113 234
99	4	251	39 44 164 211
100	4	251	39 52 70 136
101	4	251	39 70 227 249
102	4	251	39 131 136 238
103	4	251	40 53 61 158
104	4	251	41 106 141 181
105	4	251	42 53 91 142
106	4	251	42 53 142 176
107	4	251	46 124 200 246
108	4	251	48 102 143 234
109	4	251	48 180 200 217
110	4	251	49 81 193 229
111	4	251	49 81 211 229
112	4	251	49 97 211 224
113	4	251	51 63 98 158
114	4	251	51 98 152 176
115	4	251	54 130 152 217
116	4	251	58 81 115 197
117	4	251	58 81 134 197
118	4	251	59 94 157 178
119	4	251	63 87 110 237
120	4	251	63 87 194 237
121	4	251	63 111 181 188
122	4	251	63 111 181 221
123	4	251	63 139 209 227
124	4	251	64 97 112 222
125	4	251	64 112 114 222
126	4	251	68 72 92 126
127	4	251	69 83 88 223
128	4	251	69 83 142 215
129	4	251	69 88 130 238
130	4	251	69 88 154 223
131	4	251	69 92 126 209
132	4	251	69 105 120 142
133	4	251	69 105 142 221
134	4	251	69 120 142 215
135	4	251	71 87 180 200
136	4	251	71 87 193 200
137	4	251	71 124 200 213
138	4	251	74 76 94 162
139	4	251	76 81 94 205
140	4	251	78 153 154 174
141	4	251	81 94 116 196
142	4	251	81 116 134 196
143	4	251	81 121 199 200
144	4	251	81 134 197 200
145	4	251	81 193 200 222
146	4	251	81 197 200 211
147	4	251	81 200 222 241
148	4	251	83 88 161 195
149	4	251	83 88 161 223
150	4	251	83 88 196 226
151	4	251	83 88 208 223
152	4	251	83 142 187 188
153	4	251	83 142 208 215
154	4	251	83 183 187 226
155	4	251	84 115 144 154
156	4	251	84 192 219 239
157	4	251	86 112 186 198
158	4	251	87 101 233 244
159	4	251	87 156 194 237
160	4	251	88 130 131 238
161	4	251	88 154 161 223
162	4	251	99 105 118 175
163	4	251	99 105 118 246
164	4	251	102 106 143 234
165	4	251	102 143 188 243
166	4	251	104 156 171 206
167	4	251	106 160 184 226
168	4	251	111 114 124 214
169	4	251	111 181 221 230
170	4	251	114 177 214 229
171	4	251	117 220 225 244
172	4	251	118 167 211 238
173	4	251	130 135 138 152
174	4	251	143 188 198 243
175	4	251	151 158 182 186
176	4	251	156 171 206 210
177	4	251	156 194 206 210
178	4	251	167 202 218 238
179	4	251	167 211 235 238
180	4	251	181 208 221 230
181	4	251	191 205 232 250
182	4	251	192 219 239 249
183	3	1	1 3 39
184	3	1	1 3 174
185	3	1	1 3 225
186	3	1	1 6 39
187	3	1	1 6 94
188	3	1	1 6 230
189	3	1	1 6 231
190	3	1	1 18 55
191	3	1	1 23 43
192	3	1	1 39 94
193	3	1	1 39 231
194	3	1	1 43 163
195	3	1	1 43 230
196	3	1	1 55 163
197	3	1	1 55 181
198	3	1	1 55 230
199	3	1	1 72 130
200	3	1	1 72 174
201	3	1	1 83 225
202	3	1	1 90 155
203	3	1	1 90 225
204	3	1	1 90 230
205	3	1	1 94 181
206	3	1	1 123 225
207	3	1	1 155 218
208	3	1	1 181 230
209	3	1	1 218 230
210	3	1	2 26 48
211	3	1	2 26 96
212	3	1	2 26 131
213	3	1	2 34 230
214	3	1	2 36 138
215	3	1	2 36 230
216	3	1	2 39 40
217	3	1	2 39 131
218	3	1	2 39 147
219	3	1	2 39 148
220	3	1	2 39 249
221	3	1	2 40 53
222	3	1	2 40 75
223	3	1	2 40 148
224	3	1	2 40 249
225	3	1	2 48 226
226	3	1	2 68 147
227	3	1	2 68 148
228	3	1	2 68 169
229	3	1	2 73 230
230	3	1	2 75 96
231	3	1	2 75 141
232	3	1	2 75 148
233	3	1	2 96 110
234	3	1	2 96 169
235	3	1	2 110 145
236	3	1	2 110 193
237	3	1	2 131 249
238	3	1	2 138 141
239	3	1	2 138 148
240	3	1	2 138 249
241	3	1	2 141 145
242	3	1	2 141 147
243	3	1	2 141 169
244	3	1	2 145 205
245	3	1	2 147 208
246	3	1	2 193 249
247	3	1	2 205 249
248	3	1	2 208 230
249	3	1	2 208 249
250	3	1	2 230 249
251	3	1	3 7 65
252	3	1	3 7 87
253	3	1	3 7 95
254	3	1	3 7 124
255	3	1	3 7 178
256	3	1	3 7 184
257	3	1	3 7 244
258	3	1	3 7 246
259	3	1	3 7 248
260	3	1	3 11 65
261	3	1	3 11 186
262	3	1	3 11 225
263	3	1	3 11 244
