column_id	size	score	vertices
0	4	63001	1 6 39 94
1	4	63001	1 6 39 231
2	4	63001	1 55 181 230
3	4	63001	2 39 40 148
4	4	63001	2 39 40 249
5	4	63001	2 39 131 249
6	4	63001	2 40 75 148
7	4	63001	2 208 230 249
8	4	63001	3 7 65 246
9	4	63001	3 7 87 244
10	4	63001	3 7 95 244
11	4	63001	3 7 124 246
12	4	63001	3 11 225 244
13	4	63001	3 20 29 30
14	4	63001	3 39 70 152
15	4	63001	3 39 131 238
16	4	63001	3 39 186 238
17	4	63001	3 42 131 184
18	4	63001	3 69 88 154
19	4	63001	3 69 88 223
20	4	63001	3 69 88 238
21	4	63001	3 69 154 223
22	4	63001	3 78 154 174
23	4	63001	3 84 144 154
24	4	63001	3 87 101 244
25	4	63001	3 88 131 238
26	4	63001	3 88 154 223
27	4	63001	3 88 154 226
28	4	63001	3 118 238 248
29	4	63001	3 154 184 226
30	4	63001	5 48 79 234
31	4	63001	5 48 114 229
32	4	63001	5 48 114 234
33	4	63001	5 58 158 216
34	4	63001	5 74 76 162
35	4	63001	5 146 152 176
36	4	63001	6 29 138 184
37	4	63001	6 48 229 232
38	4	63001	7 81 95 109
39	4	63001	7 95 109 244
40	4	63001	7 106 124 246
41	4	63001	9 21 60 174
42	4	63001	9 54 87 233
43	4	63001	9 84 219 239
44	4	63001	9 164 211 235
45	4	63001	9 167 211 235
46	4	63001	10 15 46 130
47	4	63001	10 130 152 204
48	4	63001	10 143 158 218
49	4	63001	11 41 214 225
50	4	63001	11 103 202 228
51	4	63001	12 20 29 75
52	4	63001	12 88 163 179
53	4	63001	12 159 196 230
54	4	63001	13 19 76 162
55	4	63001	15 46 86 97
56	4	63001	16 112 186 222
57	4	63001	16 112 200 222
58	4	63001	16 145 182 220
59	4	63001	17 43 50 157
60	4	63001	17 45 50 233
61	4	63001	18 42 104 175
62	4	63001	23 47 145 243
63	4	63001	23 114 124 168
64	4	63001	23 124 168 207
65	4	63001	25 87 156 194
66	4	63001	26 48 79 105
67	4	63001	26 57 96 215
68	4	63001	26 96 142 215
69	4	63001	27 78 91 174
70	4	63001	27 163 207 220
71	4	63001	27 207 220 250
72	4	63001	28 88 179 238
73	4	63001	28 108 152 201
74	4	63001	28 167 194 218
75	4	63001	28 167 218 238
76	4	63001	29 57 149 230
77	4	63001	29 65 140 170
78	4	63001	31 44 225 237
79	4	63001	31 134 197 200
80	4	63001	31 197 200 213
81	4	63001	33 69 120 126
82	4	63001	33 69 126 209
83	4	63001	33 77 83 195
84	4	63001	33 129 158 218
85	4	63001	34 56 219 236
86	4	63001	35 44 113 234
87	4	63001	35 106 113 234
88	4	63001	36 90 223 245
89	4	63001	36 138 152 184
90	4	63001	36 146 152 204
91	4	63001	39 44 113 234
92	4	63001	39 44 164 211
93	4	63001	39 52 70 136
94	4	63001	39 70 227 249
95	4	63001	39 131 136 238
96	4	63001	40 53 61 158
97	4	63001	41 106 141 181
98	4	63001	42 53 91 142
99	4	63001	42 53 142 176
100	4	63001	44 67 164 211
101	4	63001	46 124 200 246
102	4	63001	48 102 143 234
103	4	63001	48 180 200 217
104	4	63001	49 81 193 229
105	4	63001	49 81 211 229
106	4	63001	49 97 211 224
107	4	63001	54 130 152 217
108	4	63001	58 81 115 197
109	4	63001	58 81 134 197
110	4	63001	59 94 157 178
111	4	63001	63 87 110 237
112	4	63001	63 87 194 237
