column_id	size	score	vertices
0	4	63001	1 6 39 94
1	4	63001	1 6 39 231
2	4	63001	1 55 181 230
3	4	63001	2 39 40 148
4	4	63001	2 39 40 249
5	4	63001	2 39 131 249
6	4	63001	2 40 75 148
7	4	63001	2 208 230 249
8	4	63001	5 48 79 234
9	4	63001	5 48 114 229
10	4	63001	5 48 114 234
11	4	63001	5 58 158 216
12	4	63001	5 74 76 162
13	4	63001	5 146 152 176
14	4	63001	6 29 138 184
15	4	63001	6 48 229 232
16	4	63001	7 81 95 109
17	4	63001	7 95 109 244
18	4	63001	7 106 124 246
19	4	63001	9 21 60 174
20	4	63001	9 54 87 233
21	4	63001	9 84 219 239
22	4	63001	9 164 211 235
23	4	63001	9 167 211 235
24	4	63001	10 15 46 130
25	4	63001	10 130 152 204
26	4	63001	10 143 158 218
27	4	63001	11 41 214 225
28	4	63001	11 103 202 228
29	4	63001	12 20 29 75
30	4	63001	12 159 196 230
31	4	63001	13 19 76 162
32	4	63001	15 46 86 97
33	4	63001	16 112 186 222
34	4	63001	16 112 200 222
35	4	63001	16 145 182 220
36	4	63001	17 43 50 157
37	4	63001	17 45 50 233
38	4	63001	18 42 104 175
39	4	63001	23 47 145 243
40	4	63001	23 114 124 168
41	4	63001	23 124 168 207
42	4	63001	25 87 156 194
43	4	63001	26 48 79 105
44	4	63001	26 57 96 215
45	4	63001	26 96 142 215
46	4	63001	27 78 91 174
47	4	63001	27 163 207 220
48	4	63001	27 207 220 250
49	4	63001	28 108 152 201
50	4	63001	28 167 194 218
51	4	63001	28 167 218 238
52	4	63001	29 57 149 230
53	4	63001	29 65 140 170
54	4	63001	31 44 225 237
55	4	63001	31 134 197 200
56	4	63001	31 197 200 213
57	4	63001	33 77 83 195
58	4	63001	33 129 158 218
59	4	63001	34 56 219 236
60	4	63001	35 44 113 234
61	4	63001	35 106 113 234
62	4	63001	36 138 152 184
63	4	63001	36 146 152 204
64	4	63001	39 44 113 234
65	4	63001	39 44 164 211
66	4	63001	39 52 70 136
67	4	63001	39 70 227 249
68	4	63001	39 131 136 238
69	4	63001	40 53 61 158
70	4	63001	41 106 141 181
71	4	63001	42 53 91 142
72	4	63001	42 53 142 176
73	4	63001	44 67 164 211
74	4	63001	46 124 200 246
75	4	63001	48 102 143 234
76	4	63001	48 180 200 217
77	4	63001	49 81 193 229
78	4	63001	49 81 211 229
79	4	63001	49 97 211 224
80	4	63001	54 130 152 217
81	4	63001	58 81 115 197
82	4	63001	58 81 134 197
83	4	63001	59 94 157 178
84	4	63001	63 87 110 237
85	4	63001	63 87 194 237
86	4	63001	63 111 181 188
87	4	63001	63 111 181 221
88	4	63001	63 139 209 227
89	4	63001	64 97 112 222
90	4	63001	64 112 114 222
91	4	63001	65 67 140 170
92	4	63001	67 101 125 198
93	4	63001	67 164 211 235
94	4	63001	68 72 92 126
95	4	63001	71 87 180 200
96	4	63001	71 87 193 200
97	4	63001	71 124 200 213
98	4	63001	72 110 119 192
99	4	63001	74 76 94 162
100	4	63001	76 81 94 205
101	4	63001	81 94 116 196
102	4	63001	81 116 134 196
103	4	63001	81 134 197 200
104	4	63001	81 193 200 222
105	4	63001	81 197 200 211
106	4	63001	81 200 222 241
107	4	63001	83 142 187 188
108	4	63001	83 142 208 215
109	4	63001	83 183 187 226
110	4	63001	84 192 219 239
111	4	63001	86 112 186 198
112	4	63001	87 101 233 244
