column_id	size	score	vertices
0	4	1	1 6 39 94
1	4	1	1 6 39 231
2	4	1	1 55 181 230
3	4	1	2 39 40 148
4	4	1	2 39 40 249
5	4	1	2 39 131 249
6	4	1	2 40 75 148
7	4	1	2 208 230 249
8	4	1	3 7 65 246
9	4	1	3 7 87 244
10	4	1	3 7 95 244
11	4	1	3 7 124 246
12	4	1	3 11 225 244
13	4	1	3 20 29 30
14	4	1	3 39 70 152
15	4	1	3 39 131 238
16	4	1	3 39 186 238
17	4	1	3 42 131 184
18	4	1	3 69 88 154
19	4	1	3 69 88 223
20	4	1	3 69 88 238
21	4	1	3 69 154 223
22	4	1	3 78 154 174
23	4	1	3 84 144 154
24	4	1	3 87 101 244
25	4	1	3 88 131 238
26	4	1	3 88 154 223
27	4	1	3 88 154 226
28	4	1	3 118 238 248
29	4	1	3 154 184 226
30	4	1	5 48 79 234
31	4	1	5 48 114 229
32	4	1	5 48 114 234
33	4	1	5 58 158 216
34	4	1	5 74 76 162
35	4	1	5 146 152 176
36	4	1	6 29 138 184
37	4	1	6 48 229 232
38	4	1	7 81 95 109
39	4	1	7 95 109 244
40	4	1	7 106 124 246
41	4	1	9 21 60 174
42	4	1	9 54 87 233
43	4	1	9 84 219 239
44	4	1	9 164 211 235
45	4	1	9 167 211 235
46	4	1	10 15 46 130
47	4	1	10 130 152 204
48	4	1	10 143 158 218
49	4	1	11 41 214 225
50	4	1	11 103 202 228
51	4	1	12 20 29 75
52	4	1	12 88 163 179
53	4	1	12 159 196 230
54	4	1	13 19 76 162
55	4	1	15 46 86 97
56	4	1	16 112 186 222
57	4	1	16 112 200 222
58	4	1	16 145 182 220
59	4	1	17 43 50 157
60	4	1	17 45 50 233
61	4	1	18 42 104 175
62	4	1	23 47 145 243
63	4	1	23 114 124 168
64	4	1	23 124 168 207
65	4	1	25 87 156 194
66	4	1	26 48 79 105
67	4	1	26 57 96 215
68	4	1	26 96 142 215
69	4	1	27 78 91 174
70	4	1	27 163 207 220
71	4	1	27 207 220 250
72	4	1	28 88 179 238
73	4	1	28 108 152 201
74	4	1	28 167 194 218
75	4	1	28 167 218 238
76	4	1	29 57 149 230
77	4	1	29 65 140 170
78	4	1	31 44 225 237
79	4	1	31 134 197 200
80	4	1	31 197 200 213
81	4	1	33 69 120 126
82	4	1	33 69 126 209
83	4	1	33 77 83 195
84	4	1	33 129 158 218
85	4	1	34 56 219 236
86	4	1	35 44 113 234
87	4	1	35 106 113 234
88	4	1	36 90 223 245
89	4	1	36 138 152 184
90	4	1	36 146 152 204
91	4	1	39 44 113 234
92	4	1	39 44 164 211
93	4	1	39 52 70 136
94	4	1	39 70 227 249
95	4	1	39 131 136 238
96	4	1	40 53 61 158
97	4	1	41 106 141 181
98	4	1	42 53 91 142
99	4	1	42 53 142 176
100	4	1	44 67 164 211
101	4	1	46 124 200 246
102	4	1	48 102 143 234
103	4	1	48 180 200 217
104	4	1	49 81 193 229
105	4	1	49 81 211 229
106	4	1	49 97 211 224
107	4	1	54 130 152 217
108	4	1	58 81 115 197
109	4	1	58 81 134 197
110	4	1	59 94 157 178
111	4	1	63 87 110 237
112	4	1	63 87 194 237
113	4	1	63 111 181 188
114	4	1	63 111 181 221
115	4	1	63 139 209 227
116	4	1	64 97 112 222
117	4	1	64 112 114 222
118	4	1	65 67 140 170
119	4	1	67 101 125 198
120	4	1	67 164 211 235
121	4	1	68 72 92 126
122	4	1	69 83 88 223
123	4	1	69 83 142 215
124	4	1	69 88 130 238
125	4	1	69 88 154 223
126	4	1	69 92 126 209
127	4	1	69 105 120 142
128	4	1	69 105 142 221
129	4	1	69 120 142 215
130	4	1	71 87 180 200
131	4	1	71 87 193 200
132	4	1	71 124 200 213
133	4	1	72 110 119 192
134	4	1	74 76 94 162
135	4	1	76 81 94 205
136	4	1	78 153 154 174
137	4	1	81 94 116 196
138	4	1	81 116 134 196
139	4	1	81 134 197 200
140	4	1	81 193 200 222
141	4	1	81 197 200 211
142	4	1	81 200 222 241
143	4	1	83 88 161 195
144	4	1	83 88 161 223
145	4	1	83 88 196 226
146	4	1	83 88 208 223
147	4	1	83 142 187 188
148	4	1	83 142 208 215
149	4	1	83 183 187 226
150	4	1	84 115 144 154
151	4	1	84 192 219 239
152	4	1	86 112 186 198
153	4	1	87 101 233 244
154	4	1	87 156 194 237
155	4	1	88 130 131 238
156	4	1	88 154 161 223
157	4	1	99 105 118 175
158	4	1	99 105 118 246
159	4	1	102 106 143 234
160	4	1	102 143 188 243
161	4	1	104 156 171 206
162	4	1	106 160 184 226
163	4	1	111 114 124 214
164	4	1	111 181 221 230
165	4	1	114 177 214 229
166	4	1	117 220 225 244
167	4	1	118 167 211 238
168	4	1	130 135 138 152
169	4	1	143 188 198 243
170	4	1	151 158 182 186
171	4	1	156 171 206 210
172	4	1	156 194 206 210
173	4	1	167 202 218 238
174	4	1	167 211 235 238
175	4	1	181 208 221 230
176	4	1	191 205 232 250
177	4	1	192 219 239 249
