column_id	size	score	vertices
0	4	251	1 6 39 94
1	4	251	1 6 39 231
2	4	251	1 55 181 230
3	4	251	2 39 40 148
4	4	251	2 39 40 249
5	4	251	2 39 131 249
6	4	251	2 40 75 148
7	4	251	2 208 230 249
8	4	251	3 7 65 246
9	4	251	3 7 87 244
10	4	251	3 7 95 244
11	4	251	3 7 124 246
12	4	251	3 11 225 244
13	4	251	3 20 29 30
14	4	251	3 39 70 152
15	4	251	3 39 131 238
16	4	251	3 39 186 238
17	4	251	3 42 131 184
18	4	251	3 69 88 154
19	4	251	3 69 88 223
20	4	251	3 69 88 238
21	4	251	3 69 154 223
22	4	251	3 78 154 174
23	4	251	3 84 144 154
24	4	251	3 87 101 244
25	4	251	3 88 131 238
26	4	251	3 88 154 223
27	4	251	3 88 154 226
28	4	251	3 118 238 248
29	4	251	3 154 184 226
30	4	251	5 48 79 234
31	4	251	5 48 114 229
32	4	251	5 48 114 234
33	4	251	5 58 158 216
34	4	251	5 74 76 162
35	4	251	5 146 152 176
36	4	251	6 29 138 184
37	4	251	6 48 229 232
38	4	251	7 81 95 109
39	4	251	7 95 109 244
40	4	251	7 106 124 246
41	4	251	9 21 60 174
42	4	251	9 54 87 233
43	4	251	9 84 219 239
44	4	251	9 164 211 235
45	4	251	9 167 211 235
46	4	251	10 15 46 130
47	4	251	10 130 152 204
48	4	251	10 143 158 218
49	4	251	11 41 214 225
50	4	251	11 103 202 228
51	4	251	12 20 29 75
52	4	251	12 88 163 179
53	4	251	12 159 196 230
54	4	251	13 19 76 162
55	4	251	15 46 86 97
56	4	251	16 112 186 222
57	4	251	16 112 200 222
58	4	251	16 145 182 220
59	4	251	17 43 50 157
60	4	251	17 45 50 233
61	4	251	18 42 104 175
62	4	251	23 47 145 243
63	4	251	23 114 124 168
64	4	251	23 124 168 207
65	4	251	25 87 156 194
66	4	251	26 48 79 105
67	4	251	26 57 96 215
68	4	251	26 96 142 215
69	4	251	27 78 91 174
70	4	251	27 163 207 220
71	4	251	27 207 220 250
72	4	251	28 88 179 238
73	4	251	28 108 152 201
74	4	251	28 167 194 218
75	4	251	28 167 218 238
76	4	251	29 57 149 230
77	4	251	29 65 140 170
78	4	251	31 44 225 237
79	4	251	31 134 197 200
80	4	251	31 197 200 213
81	4	251	33 69 120 126
82	4	251	33 69 126 209
83	4	251	33 77 83 195
84	4	251	33 129 158 218
85	4	251	34 56 219 236
86	4	251	35 44 113 234
87	4	251	35 106 113 234
88	4	251	36 90 223 245
89	4	251	36 138 152 184
90	4	251	36 146 152 204
91	4	251	39 44 113 234
92	4	251	39 44 164 211
93	4	251	39 52 70 136
94	4	251	39 70 227 249
95	4	251	39 131 136 238
96	4	251	40 53 61 158
97	4	251	41 106 141 181
98	4	251	42 53 91 142
99	4	251	42 53 142 176
100	4	251	44 67 164 211
101	4	251	46 124 200 246
102	4	251	48 102 143 234
103	4	251	48 180 200 217
104	4	251	49 81 193 229
105	4	251	49 81 211 229
106	4	251	49 97 211 224
107	4	251	54 130 152 217
108	4	251	58 81 115 197
109	4	251	58 81 134 197
110	4	251	59 94 157 178
111	4	251	63 87 110 237
112	4	251	63 87 194 237
113	4	251	63 111 181 188
114	4	251	63 111 181 221
115	4	251	63 139 209 227
116	4	251	64 97 112 222
117	4	251	64 112 114 222
118	4	251	65 67 140 170
119	4	251	67 101 125 198
120	4	251	67 164 211 235
121	4	251	68 72 92 126
122	4	251	69 83 88 223
123	4	251	69 83 142 215
124	4	251	69 88 130 238
125	4	251	69 88 154 223
126	4	251	69 92 126 209
127	4	251	69 105 120 142
128	4	251	69 105 142 221
129	4	251	69 120 142 215
130	4	251	71 87 180 200
131	4	251	71 87 193 200
132	4	251	71 124 200 213
133	4	251	72 110 119 192
134	4	251	74 76 94 162
135	4	251	76 81 94 205
136	4	251	78 153 154 174
137	4	251	81 94 116 196
138	4	251	81 116 134 196
139	4	251	81 134 197 200
140	4	251	81 193 200 222
141	4	251	81 197 200 211
142	4	251	81 200 222 241
143	4	251	83 88 161 195
144	4	251	83 88 161 223
145	4	251	83 88 196 226
146	4	251	83 88 208 223
147	4	251	83 142 187 188
148	4	251	83 142 208 215
149	4	251	83 183 187 226
150	4	251	84 115 144 154
151	4	251	84 192 219 239
152	4	251	86 112 186 198
153	4	251	87 101 233 244
154	4	251	87 156 194 237
155	4	251	88 130 131 238
156	4	251	88 154 161 223
157	4	251	99 105 118 175
158	4	251	99 105 118 246
159	4	251	102 106 143 234
160	4	251	102 143 188 243
161	4	251	104 156 171 206
162	4	251	106 160 184 226
163	4	251	111 114 124 214
164	4	251	111 181 221 230
165	4	251	114 177 214 229
166	4	251	117 220 225 244
167	4	251	118 167 211 238
168	4	251	130 135 138 152
169	4	251	143 188 198 243
170	4	251	151 158 182 186
171	4	251	156 171 206 210
172	4	251	156 194 206 210
173	4	251	167 202 218 238
174	4	251	167 211 235 238
175	4	251	181 208 221 230
176	4	251	191 205 232 250
177	4	251	192 219 239 249
178	3	1	1 3 39
179	3	1	1 3 174
180	3	1	1 3 225
181	3	1	1 6 39
182	3	1	1 6 94
183	3	1	1 6 230
184	3	1	1 6 231
185	3	1	1 18 55
186	3	1	1 23 43
187	3	1	1 39 94
188	3	1	1 39 231
189	3	1	1 43 163
190	3	1	1 43 230
191	3	1	1 55 163
192	3	1	1 55 181
193	3	1	1 55 230
194	3	1	1 72 130
195	3	1	1 72 174
196	3	1	1 83 225
197	3	1	1 90 155
198	3	1	1 90 225
199	3	1	1 90 230
200	3	1	1 94 181
201	3	1	1 123 225
202	3	1	1 155 218
203	3	1	1 181 230
204	3	1	1 218 230
205	3	1	2 26 48
206	3	1	2 26 96
207	3	1	2 26 131
208	3	1	2 34 230
209	3	1	2 36 138
210	3	1	2 36 230
211	3	1	2 39 40
212	3	1	2 39 131
213	3	1	2 39 147
214	3	1	2 39 148
215	3	1	2 39 249
216	3	1	2 40 53
217	3	1	2 40 75
218	3	1	2 40 148
219	3	1	2 40 166
220	3	1	2 40 249
221	3	1	2 48 226
222	3	1	2 68 147
223	3	1	2 68 148
224	3	1	2 68 169
225	3	1	2 73 230
226	3	1	2 75 96
227	3	1	2 75 141
228	3	1	2 75 148
229	3	1	2 96 110
230	3	1	2 96 169
231	3	1	2 110 145
232	3	1	2 110 193
233	3	1	2 131 249
234	3	1	2 138 141
235	3	1	2 138 148
236	3	1	2 138 166
237	3	1	2 138 249
238	3	1	2 141 145
239	3	1	2 141 147
240	3	1	2 141 169
241	3	1	2 145 205
242	3	1	2 147 208
243	3	1	2 193 249
244	3	1	2 205 249
245	3	1	2 208 230
246	3	1	2 208 249
247	3	1	2 230 249
248	3	1	3 7 65
249	3	1	3 7 87
250	3	1	3 7 95
251	3	1	3 7 124
252	3	1	3 7 178
253	3	1	3 7 184
254	3	1	3 7 244
255	3	1	3 7 246
256	3	1	3 7 248
257	3	1	3 11 65
258	3	1	3 11 186
259	3	1	3 11 225
260	3	1	3 11 244
261	3	1	3 17 69
262	3	1	3 17 225
263	3	1	3 17 248
264	3	1	3 20 29
