h1,h2,h3,h4,h5,classes,canonical_sum,refutation
0,1,34,34,2,71,8266,x1+x3 quad cap; x1+x2 triple cap 31
0,2,31,37,1,71,8269,x1 quad cap; x2 triple cap 29; x3 triple cap 28
0,4,32,34,2,72,8271,x1+x3 quad cap; x1+x2 triple cap 31
0,5,29,37,1,72,8276,one-top triple routing; S10 pair cap 4
1,0,32,37,1,71,8268,x1 quad cap; x2 triple cap 29; x3 triple cap 28
1,2,33,34,2,72,8268,x1+x3 quad cap; x1+x2 triple cap 31
1,3,30,37,1,72,8272,x1 quad cap; x2 triple cap 29; x3 triple cap 28
1,5,31,34,2,73,8276,two-top routing; S11 pair cap 4
2,0,34,34,2,72,8267,x1+x3 quad cap; x1+x2 triple cap 31
2,1,31,37,1,72,8270,x1 quad cap; x2 triple cap 29; x3 triple cap 28
2,3,32,34,2,73,8272,x1+x3 quad cap; x1+x2 triple cap 31
3,1,33,34,2,73,8270,x1+x3 quad cap; x1+x2 triple cap 31
3,2,30,37,1,73,8274,x1 quad cap; x2 triple cap 29; x3 triple cap 28
4,0,31,37,1,73,8273,x1 quad cap; x2 triple cap 29; x3 triple cap 28
4,2,32,34,2,74,8275,x1+x3 quad cap; x1+x2 triple cap 31
5,0,33,34,2,74,8274,x1+x3 quad cap; x1+x2 triple cap 31
