h1,h2,h3,h4,h5,g1,g2,g3,g4,g5,classes,canonical_sum,layered_survivor,selected_top_survivor
0,0,0,60,2,62,62,62,62,2,62,7815,0,0
0,0,2,61,0,63,63,63,61,0,63,7939,0,0
0,0,3,59,1,63,63,63,60,1,63,7879,0,0
0,0,4,57,2,63,63,63,59,2,63,7821,0,0
0,0,6,58,0,64,64,64,58,0,64,7951,0,0
0,0,7,56,1,64,64,64,57,1,64,7894,0,0
0,0,8,54,2,64,64,64,56,2,64,7839,0,0
0,0,10,55,0,65,65,65,55,0,65,7975,0,0
0,0,11,53,1,65,65,65,54,1,65,7921,0,0
0,0,12,51,2,65,65,65,53,2,65,7869,0,0
0,0,14,52,0,66,66,66,52,0,66,8011,0,0
0,0,15,50,1,66,66,66,51,1,66,7960,0,0
0,0,16,48,2,66,66,66,50,2,66,7911,0,0
0,0,18,49,0,67,67,67,49,0,67,8059,0,0
0,0,19,47,1,67,67,67,48,1,67,8011,0,0
0,0,20,45,2,67,67,67,47,2,67,7965,0,0
0,0,22,46,0,68,68,68,46,0,68,8119,0,0
0,0,23,44,1,68,68,68,45,1,68,8074,0,0
0,0,24,42,2,68,68,68,44,2,68,8031,0,0
0,0,26,43,0,69,69,69,43,0,69,8191,0,0
0,0,27,41,1,69,69,69,42,1,69,8149,0,0
0,0,28,39,2,69,69,69,41,2,69,8109,0,0
0,0,30,40,0,70,70,70,40,0,70,8275,0,0
0,0,31,38,1,70,70,70,39,1,70,8236,1,0
0,0,32,36,2,70,70,70,38,2,70,8199,0,0
0,1,0,62,0,63,63,62,62,0,63,7938,0,0
0,1,1,60,1,63,63,62,61,1,63,7877,0,0
0,1,2,58,2,63,63,62,60,2,63,7818,0,0
0,1,4,59,0,64,64,63,59,0,64,7946,0,0
0,1,5,57,1,64,64,63,58,1,64,7888,0,0
0,1,6,55,2,64,64,63,57,2,64,7832,0,0
0,1,8,56,0,65,65,64,56,0,65,7966,0,0
0,1,9,54,1,65,65,64,55,1,65,7911,0,0
0,1,10,52,2,65,65,64,54,2,65,7858,0,0
0,1,12,53,0,66,66,65,53,0,66,7998,0,0
0,1,13,51,1,66,66,65,52,1,66,7946,0,0
0,1,14,49,2,66,66,65,51,2,66,7896,0,0
0,1,16,50,0,67,67,66,50,0,67,8042,0,0
0,1,17,48,1,67,67,66,49,1,67,7993,0,0
0,1,18,46,2,67,67,66,48,2,67,7946,0,0
0,1,20,47,0,68,68,67,47,0,68,8098,0,0
0,1,21,45,1,68,68,67,46,1,68,8052,0,0
0,1,22,43,2,68,68,67,45,2,68,8008,0,0
0,1,24,44,0,69,69,68,44,0,69,8166,0,0
0,1,25,42,1,69,69,68,43,1,69,8123,0,0
0,1,26,40,2,69,69,68,42,2,69,8082,0,0
0,1,28,41,0,70,70,69,41,0,70,8246,0,0
0,1,29,39,1,70,70,69,40,1,70,8206,0,0
0,1,30,37,2,70,70,69,39,2,70,8168,0,0
0,1,34,34,2,71,71,70,36,2,71,8266,1,1
0,2,0,59,2,63,63,61,61,2,63,7817,0,0
0,2,2,60,0,64,64,62,60,0,64,7943,0,0
0,2,3,58,1,64,64,62,59,1,64,7884,0,0
0,2,4,56,2,64,64,62,58,2,64,7827,0,0
0,2,6,57,0,65,65,63,57,0,65,7959,0,0
0,2,7,55,1,65,65,63,56,1,65,7903,0,0
0,2,8,53,2,65,65,63,55,2,65,7849,0,0
0,2,10,54,0,66,66,64,54,0,66,7987,0,0
0,2,11,52,1,66,66,64,53,1,66,7934,0,0
0,2,12,50,2,66,66,64,52,2,66,7883,0,0
0,2,14,51,0,67,67,65,51,0,67,8027,0,0
0,2,15,49,1,67,67,65,50,1,67,7977,0,0
0,2,16,47,2,67,67,65,49,2,67,7929,0,0
0,2,18,48,0,68,68,66,48,0,68,8079,0,0
0,2,19,46,1,68,68,66,47,1,68,8032,0,0
0,2,20,44,2,68,68,66,46,2,68,7987,0,0
0,2,22,45,0,69,69,67,45,0,69,8143,0,0
0,2,23,43,1,69,69,67,44,1,69,8099,0,0
0,2,24,41,2,69,69,67,43,2,69,8057,0,0
0,2,26,42,0,70,70,68,42,0,70,8219,0,0
0,2,27,40,1,70,70,68,41,1,70,8178,0,0
0,2,28,38,2,70,70,68,40,2,70,8139,0,0
0,2,31,37,1,71,71,69,38,1,71,8269,1,1
0,2,32,35,2,71,71,69,37,2,71,8233,0,0
0,3,0,61,0,64,64,61,61,0,64,7942,0,0
0,3,1,59,1,64,64,61,60,1,64,7882,0,0
