packing,objective,strength,h1,h2,h3,h4,h5,status,reason
2,29785,124,1,1,6,101,15,eliminated,P2/P4_h4_le_100
2,29787,124,0,3,5,101,15,eliminated,P2/P4_h4_le_100
2,29787,125,3,0,6,101,15,eliminated,P2/P4_h4_le_100
2,29788,125,2,2,5,101,15,eliminated,P2/P4_h4_le_100
2,29791,125,1,4,4,101,15,eliminated,P2/P4_h4_le_100
2,29791,126,4,1,5,101,15,eliminated,P2/P4_h4_le_100
2,29793,126,3,3,4,101,15,eliminated,P2/P4_h4_le_100
2,29796,125,0,6,3,101,15,eliminated,P2/P4_h4_le_100
2,29796,127,6,0,5,101,15,eliminated,P2/P4_h4_le_100
2,29797,126,2,5,3,101,15,eliminated,P2/P4_h4_le_100
2,29797,127,5,2,4,101,15,eliminated,P2/P4_h4_le_100
2,29800,127,4,4,3,101,15,eliminated,P2/P4_h4_le_100
2,29803,126,1,7,2,101,15,eliminated,P2/P4_h4_le_100
2,29803,128,7,1,4,101,15,eliminated,P2/P4_h4_le_100
2,29805,127,3,6,2,101,15,eliminated,P2/P4_h4_le_100
2,29805,128,6,3,3,101,15,eliminated,P2/P4_h4_le_100
2,29809,128,5,5,2,101,15,eliminated,P2/P4_h4_le_100
2,29811,126,0,9,1,101,15,eliminated,P2/P4_h4_le_100
2,29811,129,9,0,4,101,15,eliminated,P2/P4_h4_le_100
2,29812,127,2,8,1,101,15,eliminated,P2/P4_h4_le_100
2,29812,129,8,2,3,101,15,eliminated,P2/P4_h4_le_100
2,29815,128,4,7,1,101,15,eliminated,P2/P4_h4_le_100
2,29815,129,7,4,2,101,15,eliminated,P2/P4_h4_le_100
2,29820,129,6,6,1,101,15,eliminated,P2/P4_h4_le_100
2,29821,127,1,10,0,101,15,eliminated,P2/P4_h4_le_100
2,29821,130,10,1,3,101,15,eliminated,P2/P4_h4_le_100
2,29823,128,3,9,0,101,15,eliminated,P2/P4_h4_le_100
2,29823,130,9,3,2,101,15,eliminated,P2/P4_h4_le_100
2,29827,129,5,8,0,101,15,eliminated,P2/P4_h4_le_100
2,29827,130,8,5,1,101,15,eliminated,P2/P4_h4_le_100
2,29832,131,12,0,3,101,15,eliminated,P2/P4_h4_le_100
2,29833,130,7,7,0,101,15,eliminated,P2/P4_h4_le_100
2,29833,131,11,2,2,101,15,eliminated,P2/P4_h4_le_100
2,29836,131,10,4,1,101,15,eliminated,P2/P4_h4_le_100
2,29841,131,9,6,0,101,15,eliminated,P2/P4_h4_le_100
2,29845,132,13,1,2,101,15,eliminated,P2/P4_h4_le_100
2,29847,132,12,3,1,101,15,eliminated,P2/P4_h4_le_100
4,29785,124,1,1,6,101,15,eliminated,P2/P4_h4_le_100
4,29787,124,0,3,5,101,15,eliminated,P2/P4_h4_le_100
4,29787,125,3,0,6,101,15,eliminated,P2/P4_h4_le_100
4,29788,125,2,2,5,101,15,eliminated,P2/P4_h4_le_100
