column_id	size	score	vertices
0	4	251001	1 33 141 186
1	4	251001	1 51 346 494
2	4	251001	1 62 72 92
3	4	251001	1 62 92 323
4	4	251001	1 68 186 237
5	4	251001	1 68 237 244
6	4	251001	1 148 237 387
7	4	251001	1 181 237 405
8	4	251001	1 186 236 237
9	4	251001	1 236 237 387
10	4	251001	1 237 244 387
11	4	251001	1 237 394 417
12	4	251001	1 244 313 431
13	4	251001	1 244 323 337
14	4	251001	1 244 377 387
15	4	251001	1 258 394 431
16	4	251001	1 346 377 387
17	4	251001	2 7 33 294
18	4	251001	2 7 68 94
19	4	251001	2 7 94 294
20	4	251001	2 7 294 463
21	4	251001	2 33 192 294
22	4	251001	2 33 192 473
23	4	251001	2 33 304 473
24	4	251001	2 53 330 332
25	4	251001	2 114 166 397
26	4	251001	2 114 192 302
27	4	251001	2 119 187 362
28	4	251001	2 119 187 400
29	4	251001	2 122 156 167
30	4	251001	2 122 192 294
31	4	251001	2 122 369 426
32	4	251001	2 156 167 284
33	4	251001	2 156 181 473
34	4	251001	2 156 291 404
35	4	251001	2 181 192 473
36	4	251001	2 181 237 467
37	4	251001	2 181 304 473
38	4	251001	2 187 362 374
39	4	251001	2 192 302 428
40	4	251001	2 284 369 374
41	4	251001	2 291 362 446
42	4	251001	2 302 428 463
43	4	251001	2 428 446 463
44	4	251001	3 10 275 279
45	4	251001	3 10 353 453
46	4	251001	3 10 385 453
47	4	251001	3 29 37 385
48	4	251001	3 37 44 497
49	4	251001	3 37 166 385
50	4	251001	3 37 245 497
51	4	251001	3 37 385 453
52	4	251001	3 44 89 462
53	4	251001	3 69 166 349
54	4	251001	3 130 245 497
55	4	251001	3 169 342 435
56	4	251001	3 225 275 345
57	4	251001	3 279 397 472
58	4	251001	4 92 101 149
59	4	251001	4 92 149 367
60	4	251001	4 94 183 385
61	4	251001	4 100 346 387
62	4	251001	4 101 124 320
63	4	251001	4 101 183 320
64	4	251001	4 101 183 404
65	4	251001	4 149 350 491
66	4	251001	4 183 276 320
67	4	251001	4 183 320 385
68	4	251001	4 183 346 387
69	4	251001	4 183 387 404
70	4	251001	4 234 320 466
71	4	251001	4 242 297 466
72	4	251001	4 276 297 300
73	4	251001	4 276 367 453
74	4	251001	4 320 333 466
75	4	251001	5 30 170 410
76	4	251001	5 33 172 432
77	4	251001	5 33 286 410
78	4	251001	5 33 286 432
79	4	251001	5 35 77 112
80	4	251001	5 35 183 440
81	4	251001	5 53 172 440
82	4	251001	5 53 183 440
83	4	251001	5 53 236 440
84	4	251001	5 103 245 288
85	4	251001	5 112 341 373
86	4	251001	5 112 364 373
87	4	251001	5 150 251 286
88	4	251001	5 150 364 373
89	4	251001	5 150 373 395
90	4	251001	5 160 236 440
91	4	251001	5 170 286 410
92	4	251001	5 172 341 373
93	4	251001	5 189 251 341
94	4	251001	5 204 222 286
95	4	251001	6 16 157 394
96	4	251001	6 98 281 380
97	4	251001	6 104 192 302
98	4	251001	6 104 192 389
99	4	251001	6 157 161 314
100	4	251001	6 157 310 314
101	4	251001	6 190 281 380
102	4	251001	6 190 380 398
103	4	251001	6 192 314 389
104	4	251001	7 50 108 287
105	4	251001	7 57 149 240
106	4	251001	7 57 216 439
107	4	251001	7 57 216 488
108	4	251001	7 57 240 329
109	4	251001	7 68 94 120
110	4	251001	7 83 116 486
111	4	251001	7 88 163 298
112	4	251001	7 92 149 367
113	4	251001	7 94 171 385
114	4	251001	7 94 243 385
115	4	251001	7 94 294 298
116	4	251001	7 106 163 298
117	4	251001	7 171 385 440
118	4	251001	7 171 440 447
119	4	251001	7 197 321 367
120	4	251001	7 212 216 486
121	4	251001	7 212 463 486
122	4	251001	7 232 329 485
123	4	251001	7 329 447 485
124	4	251001	7 367 439 453
125	4	251001	8 65 97 372
126	4	251001	9 22 158 212
127	4	251001	9 22 353 413
128	4	251001	9 45 81 90
129	4	251001	9 45 90 134
130	4	251001	9 142 353 429
131	4	251001	9 269 322 445
132	4	251001	10 22 400 479
133	4	251001	10 102 400 479
134	4	251001	10 128 209 321
135	4	251001	10 128 279 321
136	4	251001	10 162 169 400
137	4	251001	10 233 353 465
138	4	251001	11 12 158 212
139	4	251001	11 12 412 476
140	4	251001	11 38 163 174
141	4	251001	11 56 105 138
142	4	251001	11 56 138 187
143	4	251001	11 84 244 436
144	4	251001	11 84 244 447
145	4	251001	11 84 412 447
146	4	251001	11 104 361 472
147	4	251001	11 104 436 459
148	4	251001	11 161 253 337
149	4	251001	11 163 174 298
150	4	251001	11 212 342 371
151	4	251001	11 244 253 337
152	4	251001	11 244 253 439
153	4	251001	11 244 323 337
154	4	251001	11 244 323 455
155	4	251001	11 253 298 439
156	4	251001	11 271 371 411
157	4	251001	11 271 412 476
158	4	251001	11 342 371 451
