column_id	size	score	vertices
0	4	501	1 33 141 186
1	4	501	1 51 346 494
2	4	501	1 62 72 92
3	4	501	1 62 92 323
4	4	501	1 68 186 237
5	4	501	1 68 237 244
6	4	501	1 148 237 387
7	4	501	1 181 237 405
8	4	501	1 186 236 237
9	4	501	1 236 237 387
10	4	501	1 237 244 387
11	4	501	1 237 394 417
12	4	501	1 244 313 431
13	4	501	1 244 323 337
14	4	501	1 244 377 387
15	4	501	1 258 394 431
16	4	501	1 346 377 387
17	4	501	2 7 33 294
18	4	501	2 7 68 94
19	4	501	2 7 94 294
20	4	501	2 7 294 463
21	4	501	2 33 192 294
22	4	501	2 33 192 473
23	4	501	2 33 304 473
24	4	501	2 53 330 332
25	4	501	2 114 166 397
26	4	501	2 114 192 302
27	4	501	2 119 187 362
28	4	501	2 119 187 400
29	4	501	2 122 156 167
30	4	501	2 122 192 294
31	4	501	2 122 369 426
32	4	501	2 156 167 284
33	4	501	2 156 181 473
34	4	501	2 156 291 404
35	4	501	2 181 192 473
36	4	501	2 181 237 467
37	4	501	2 181 304 473
38	4	501	2 187 362 374
39	4	501	2 192 302 428
40	4	501	2 284 369 374
41	4	501	2 291 362 446
42	4	501	2 302 428 463
43	4	501	2 332 425 452
44	4	501	2 428 446 463
45	4	501	3 10 275 279
46	4	501	3 10 353 453
47	4	501	3 10 385 453
48	4	501	3 29 37 385
49	4	501	3 32 349 388
50	4	501	3 32 388 419
51	4	501	3 37 44 497
52	4	501	3 37 166 385
53	4	501	3 37 245 497
54	4	501	3 37 385 453
55	4	501	3 44 89 462
56	4	501	3 69 166 349
57	4	501	3 130 245 497
58	4	501	3 143 349 388
59	4	501	3 169 342 435
60	4	501	3 225 275 345
61	4	501	3 279 397 472
62	4	501	3 388 416 419
63	4	501	3 397 419 472
64	4	501	4 92 101 149
65	4	501	4 92 149 367
66	4	501	4 94 183 385
67	4	501	4 100 346 387
68	4	501	4 101 124 320
69	4	501	4 101 183 320
70	4	501	4 101 183 404
71	4	501	4 149 350 491
72	4	501	4 183 276 320
73	4	501	4 183 320 385
74	4	501	4 183 346 387
75	4	501	4 183 387 404
76	4	501	4 234 320 466
77	4	501	4 242 297 466
78	4	501	4 276 297 300
79	4	501	4 276 367 453
80	4	501	4 320 333 466
81	4	501	5 30 170 410
82	4	501	5 33 172 432
83	4	501	5 33 286 410
84	4	501	5 33 286 432
85	4	501	5 35 77 112
86	4	501	5 35 183 440
87	4	501	5 53 172 440
88	4	501	5 53 183 440
89	4	501	5 53 236 440
90	4	501	5 103 245 288
91	4	501	5 112 341 373
92	4	501	5 112 364 373
93	4	501	5 160 236 440
94	4	501	5 170 286 410
95	4	501	5 172 341 373
96	4	501	5 189 251 341
97	4	501	5 204 222 286
98	4	501	6 16 157 394
99	4	501	6 32 308 314
100	4	501	6 98 281 380
101	4	501	6 104 192 302
102	4	501	6 104 192 389
103	4	501	6 157 161 314
104	4	501	6 157 310 314
105	4	501	6 190 281 380
106	4	501	6 190 380 398
107	4	501	6 192 314 389
108	4	501	7 57 149 240
109	4	501	7 57 216 439
110	4	501	7 57 216 488
111	4	501	7 57 240 329
112	4	501	7 68 94 120
113	4	501	7 83 116 486
114	4	501	7 88 163 298
115	4	501	7 92 149 367
116	4	501	7 94 171 385
117	4	501	7 94 243 385
118	4	501	7 94 294 298
119	4	501	7 106 163 298
120	4	501	7 171 385 440
121	4	501	7 171 440 447
122	4	501	7 197 321 367
123	4	501	7 212 216 486
124	4	501	7 212 463 486
125	4	501	7 232 329 485
126	4	501	7 329 447 485
127	4	501	7 367 439 453
128	4	501	8 65 97 372
129	4	501	9 22 158 212
130	4	501	9 22 353 413
131	4	501	9 32 81 231
132	4	501	9 32 413 494
133	4	501	9 45 81 90
134	4	501	9 45 90 134
135	4	501	9 90 134 419
136	4	501	9 142 353 429
137	4	501	9 269 322 445
138	4	501	10 22 400 479
139	4	501	10 102 400 479
140	4	501	10 128 209 321
141	4	501	10 128 279 321
142	4	501	10 162 169 400
143	4	501	10 233 353 465
144	4	501	11 12 158 212
145	4	501	11 12 412 476
146	4	501	11 38 163 174
147	4	501	11 56 105 138
148	4	501	11 56 138 187
149	4	501	11 84 244 436
150	4	501	11 84 244 447
151	4	501	11 84 412 447
152	4	501	11 104 361 472
153	4	501	11 104 436 459
154	4	501	11 161 253 337
155	4	501	11 163 174 298
156	4	501	11 212 342 371
157	4	501	11 244 253 337
158	4	501	11 244 253 439
159	4	501	11 244 323 337
160	4	501	11 244 323 455
161	4	501	11 253 298 439
162	4	501	11 271 371 411
163	4	501	11 271 412 476
164	4	501	11 342 371 451
165	4	501	11 361 411 472
166	4	501	11 361 412 447
167	4	501	12 53 82 158
168	4	501	12 53 158 319
169	4	501	12 53 319 483
170	4	501	12 57 59 236
171	4	501	12 57 116 234
172	4	501	12 57 149 240
173	4	501	12 59 349 376
174	4	501	12 158 212 325
175	4	501	12 305 376 412
176	4	501	13 75 221 267
177	4	501	13 221 236 264
178	4	501	13 221 264 299
179	4	501	13 221 264 418
180	4	501	13 221 267 299
181	4	501	13 221 267 418
182	4	501	13 267 289 299
183	4	501	15 44 425 439
184	4	501	15 47 296 462
185	4	501	15 77 122 335
186	4	501	15 77 122 439
187	4	501	15 77 249 335
188	4	501	15 77 328 335
189	4	501	15 122 425 439
190	4	501	15 176 219 349
191	4	501	15 176 253 325
192	4	501	15 185 328 335
193	4	501	15 185 335 343
194	4	501	15 185 335 388
195	4	501	15 185 335 497
196	4	501	15 185 351 497
197	4	501	15 249 253 343
198	4	501	15 249 253 351
199	4	501	15 249 335 343
200	4	501	16 33 389 464
201	4	501	16 34 86 106
202	4	501	16 34 268 469
203	4	501	16 42 177 454
204	4	501	16 42 316 495
205	4	501	16 47 68 411
206	4	501	16 47 124 239
207	4	501	16 57 116 234
208	4	501	16 57 234 464
209	4	501	16 77 246 469
210	4	501	16 177 188 337
211	4	501	16 177 426 454
212	4	501	16 268 464 469
213	4	501	16 272 447 454
214	4	501	16 272 464 469
215	4	501	16 389 426 454
216	4	501	17 18 248 497
217	4	501	17 20 278 404
218	4	501	17 36 171 304
219	4	501	17 60 86 319
220	4	501	17 130 216 497
221	4	501	17 171 292 449
222	4	501	17 175 219 449
223	4	501	18 31 249 399
224	4	501	18 112 249 464
225	4	501	18 112 289 344
226	4	501	18 206 349 376
227	4	501	18 206 349 495
228	4	501	18 249 281 454
229	4	501	18 258 287 297
230	4	501	18 287 297 495
231	4	501	18 287 344 399
232	4	501	19 29 287 312
233	4	501	19 62 303 369
234	4	501	19 62 303 484
235	4	501	19 62 439 484
236	4	501	19 79 159 437
237	4	501	19 79 464 484
238	4	501	19 98 357 432
239	4	501	19 98 405 432
240	4	501	19 98 406 416
241	4	501	19 123 292 369
242	4	501	19 124 204 497
243	4	501	19 140 248 310
244	4	501	19 145 159 369
245	4	501	19 159 324 432
246	4	501	19 159 369 437
247	4	501	19 161 292 370
248	4	501	19 248 272 324
249	4	501	19 248 287 324
250	4	501	19 248 310 437
251	4	501	19 272 324 370
252	4	501	19 370 406 416
253	4	501	19 406 416 476
254	4	501	20 25 291 423
255	4	501	20 91 244 278
256	4	501	20 91 278 333
257	4	501	20 91 333 425
258	4	501	20 93 333 346
259	4	501	20 99 157 423
260	4	501	20 141 142 399
261	4	501	20 155 291 372
262	4	501	20 244 278 287
263	4	501	20 244 287 399
264	4	501	20 251 271 278
265	4	501	20 291 372 423
266	4	501	20 372 425 458
267	4	501	22 62 349 378
268	4	501	22 62 378 479
269	4	501	22 62 400 479
270	4	501	22 105 422 423
271	4	501	22 130 216 400
272	4	501	22 216 353 413
273	4	501	22 349 378 413
274	4	501	23 38 297 302
275	4	501	23 38 297 326
276	4	501	23 63 76 155
277	4	501	23 63 76 458
278	4	501	23 63 155 162
279	4	501	23 63 155 326
280	4	501	23 76 351 458
281	4	501	23 135 160 428
282	4	501	23 160 377 444
283	4	501	23 160 428 444
284	4	501	23 162 310 410
285	4	501	23 297 302 428
286	4	501	23 310 410 459
287	4	501	24 93 365 396
288	4	501	24 180 418 430
289	4	501	24 260 418 430
290	4	501	24 304 393 458
291	4	501	25 33 464 465
292	4	501	25 43 212 388
293	4	501	25 47 61 462
294	4	501	25 47 129 462
295	4	501	25 47 296 462
296	4	501	25 233 291 465
297	4	501	25 233 409 437
298	4	501	25 406 423 428
299	4	501	25 406 428 446
300	4	501	26 57 75 158
301	4	501	26 57 75 355
302	4	501	26 57 240 263
303	4	501	26 75 139 355
304	4	501	26 75 183 387
305	4	501	26 139 251 355
306	4	501	26 183 387 400
307	4	501	26 219 240 486
308	4	501	26 237 295 312
309	4	501	26 245 253 469
310	4	501	28 71 282 485
311	4	501	28 257 292 311
312	4	501	28 257 292 423
313	4	501	28 257 311 327
