column_id	size	score	vertices
0	4	251001	1 33 141 186
1	4	251001	1 51 346 494
2	4	251001	1 62 72 92
3	4	251001	1 62 92 323
4	4	251001	1 68 186 237
5	4	251001	1 68 237 244
6	4	251001	1 148 237 387
7	4	251001	1 181 237 405
8	4	251001	1 186 236 237
9	4	251001	1 236 237 387
10	4	251001	1 237 244 387
11	4	251001	1 237 394 417
12	4	251001	1 244 313 431
13	4	251001	1 244 323 337
14	4	251001	1 244 377 387
15	4	251001	1 258 394 431
16	4	251001	1 346 377 387
17	4	251001	2 7 33 294
18	4	251001	2 7 68 94
19	4	251001	2 7 94 294
20	4	251001	2 7 294 463
21	4	251001	2 33 192 294
22	4	251001	2 33 192 473
23	4	251001	2 33 304 473
24	4	251001	2 53 330 332
25	4	251001	2 114 166 397
26	4	251001	2 114 192 302
27	4	251001	2 119 187 362
28	4	251001	2 119 187 400
29	4	251001	2 122 156 167
30	4	251001	2 122 192 294
31	4	251001	2 122 369 426
32	4	251001	2 156 167 284
33	4	251001	2 156 181 473
34	4	251001	2 156 291 404
35	4	251001	2 181 192 473
36	4	251001	2 181 237 467
37	4	251001	2 181 304 473
38	4	251001	2 187 362 374
39	4	251001	2 192 302 428
40	4	251001	2 284 369 374
41	4	251001	2 291 362 446
42	4	251001	2 302 428 463
43	4	251001	2 332 425 452
44	4	251001	2 428 446 463
45	4	251001	3 10 275 279
46	4	251001	3 10 353 453
47	4	251001	3 10 385 453
48	4	251001	3 29 37 385
49	4	251001	3 32 349 388
50	4	251001	3 32 388 419
51	4	251001	3 37 44 497
52	4	251001	3 37 166 385
53	4	251001	3 37 245 497
54	4	251001	3 37 385 453
55	4	251001	3 44 89 462
56	4	251001	3 69 166 349
57	4	251001	3 130 245 497
58	4	251001	3 143 349 388
59	4	251001	3 169 342 435
60	4	251001	3 225 275 345
61	4	251001	3 279 397 472
62	4	251001	3 388 416 419
63	4	251001	3 397 419 472
64	4	251001	4 92 101 149
65	4	251001	4 92 149 367
66	4	251001	4 94 183 385
67	4	251001	4 100 346 387
68	4	251001	4 101 124 320
69	4	251001	4 101 183 320
70	4	251001	4 101 183 404
71	4	251001	4 149 350 491
72	4	251001	4 183 276 320
73	4	251001	4 183 320 385
74	4	251001	4 183 346 387
75	4	251001	4 183 387 404
76	4	251001	4 234 320 466
77	4	251001	4 234 367 442
78	4	251001	4 242 297 466
79	4	251001	4 276 297 300
80	4	251001	4 276 367 453
81	4	251001	4 320 333 466
82	4	251001	5 30 170 410
83	4	251001	5 33 172 432
84	4	251001	5 33 286 410
85	4	251001	5 33 286 432
86	4	251001	5 35 77 112
87	4	251001	5 35 183 440
88	4	251001	5 53 172 440
89	4	251001	5 53 183 440
90	4	251001	5 53 236 440
91	4	251001	5 103 245 288
92	4	251001	5 112 341 373
93	4	251001	5 112 364 373
94	4	251001	5 160 236 440
95	4	251001	5 170 286 410
96	4	251001	5 172 341 373
97	4	251001	5 189 251 341
98	4	251001	5 204 222 286
99	4	251001	6 16 157 394
100	4	251001	6 32 308 314
101	4	251001	6 98 281 380
102	4	251001	6 104 192 302
103	4	251001	6 104 192 389
104	4	251001	6 157 161 314
105	4	251001	6 157 310 314
106	4	251001	6 190 281 380
107	4	251001	6 190 380 398
108	4	251001	6 192 314 389
109	4	251001	7 57 149 240
110	4	251001	7 57 216 439
111	4	251001	7 57 216 488
112	4	251001	7 57 240 329
113	4	251001	7 68 94 120
114	4	251001	7 83 116 486
115	4	251001	7 88 163 298
116	4	251001	7 92 149 367
117	4	251001	7 94 171 385
118	4	251001	7 94 243 385
119	4	251001	7 94 294 298
120	4	251001	7 106 163 298
121	4	251001	7 171 385 440
122	4	251001	7 171 440 447
123	4	251001	7 197 321 367
124	4	251001	7 212 216 486
125	4	251001	7 212 463 486
126	4	251001	7 232 329 485
127	4	251001	7 329 447 485
128	4	251001	7 367 439 453
129	4	251001	8 65 97 372
130	4	251001	9 22 158 212
131	4	251001	9 22 353 413
132	4	251001	9 32 81 231
133	4	251001	9 32 81 259
134	4	251001	9 32 259 494
135	4	251001	9 32 413 494
136	4	251001	9 45 81 90
137	4	251001	9 45 81 259
138	4	251001	9 45 90 134
139	4	251001	9 90 134 419
140	4	251001	9 142 353 429
141	4	251001	9 269 322 445
142	4	251001	10 22 400 479
143	4	251001	10 102 400 479
144	4	251001	10 128 209 321
145	4	251001	10 128 279 321
146	4	251001	10 162 169 400
147	4	251001	10 233 353 465
148	4	251001	11 12 158 212
149	4	251001	11 12 412 476
150	4	251001	11 38 163 174
151	4	251001	11 56 105 138
152	4	251001	11 56 138 187
153	4	251001	11 84 244 436
154	4	251001	11 84 244 447
155	4	251001	11 84 412 447
156	4	251001	11 104 361 472
157	4	251001	11 104 436 459
158	4	251001	11 105 371 442
