packing,objective,strength,h1,h2,h3,h4,h5
1,29846,127,1,5,10,96,15
1,29845,128,2,7,7,97,15
1,29847,129,3,10,2,99,15
1,29846,129,3,11,0,100,15
1,29845,128,4,2,11,96,15
1,29844,128,5,0,12,96,15
1,29843,129,5,4,8,97,15
1,29847,130,6,6,5,98,15
1,29843,130,6,7,3,99,15
1,29841,130,6,8,1,100,15
1,29842,130,7,4,6,98,15
1,29847,130,8,1,9,97,15
1,29839,130,8,2,7,98,15
1,29838,130,9,0,8,98,15
1,29845,131,9,4,4,99,15
1,29842,131,9,5,2,100,15
1,29841,131,9,6,0,101,15
1,29842,131,10,2,5,99,15
1,29838,131,10,3,3,100,15
1,29841,131,11,0,6,99,15
1,29836,131,11,1,4,100,15
1,29847,132,12,3,1,101,15
1,29845,132,13,1,2,101,15
2,29846,127,1,5,10,96,15
2,29845,128,2,7,7,97,15
2,29847,129,3,10,2,99,15
2,29846,129,3,11,0,100,15
2,29845,128,4,2,11,96,15
2,29844,128,5,0,12,96,15
2,29843,129,5,4,8,97,15
2,29847,130,6,6,5,98,15
2,29843,130,6,7,3,99,15
2,29841,130,6,8,1,100,15
2,29842,130,7,4,6,98,15
2,29847,130,8,1,9,97,15
2,29839,130,8,2,7,98,15
2,29838,130,9,0,8,98,15
2,29845,131,9,4,4,99,15
2,29842,131,9,5,2,100,15
2,29842,131,10,2,5,99,15
2,29838,131,10,3,3,100,15
2,29841,131,11,0,6,99,15
2,29836,131,11,1,4,100,15
3,29846,127,1,5,10,96,15
3,29845,128,2,7,7,97,15
3,29847,129,3,10,2,99,15
3,29846,129,3,11,0,100,15
3,29845,128,4,2,11,96,15
3,29844,128,5,0,12,96,15
3,29843,129,5,4,8,97,15
3,29847,130,6,6,5,98,15
3,29843,130,6,7,3,99,15
3,29841,130,6,8,1,100,15
3,29842,130,7,4,6,98,15
3,29847,130,8,1,9,97,15
3,29839,130,8,2,7,98,15
3,29838,130,9,0,8,98,15
3,29845,131,9,4,4,99,15
3,29842,131,9,5,2,100,15
3,29841,131,9,6,0,101,15
3,29842,131,10,2,5,99,15
3,29838,131,10,3,3,100,15
3,29841,131,11,0,6,99,15
3,29836,131,11,1,4,100,15
3,29847,132,12,3,1,101,15
3,29845,132,13,1,2,101,15
4,29846,127,1,5,10,96,15
4,29845,128,2,7,7,97,15
4,29847,129,3,10,2,99,15
4,29846,129,3,11,0,100,15
4,29845,128,4,2,11,96,15
4,29844,128,5,0,12,96,15
4,29843,129,5,4,8,97,15
4,29847,130,6,6,5,98,15
4,29843,130,6,7,3,99,15
4,29841,130,6,8,1,100,15
4,29842,130,7,4,6,98,15
4,29847,130,8,1,9,97,15
4,29839,130,8,2,7,98,15
4,29838,130,9,0,8,98,15
4,29845,131,9,4,4,99,15
4,29842,131,9,5,2,100,15
4,29842,131,10,2,5,99,15
4,29838,131,10,3,3,100,15
4,29841,131,11,0,6,99,15
4,29836,131,11,1,4,100,15
5,29846,127,1,5,10,96,15
5,29845,128,2,7,7,97,15
5,29847,129,3,10,2,99,15
5,29846,129,3,11,0,100,15
5,29845,128,4,2,11,96,15
5,29844,128,5,0,12,96,15
5,29843,129,5,4,8,97,15
5,29847,130,6,6,5,98,15
5,29843,130,6,7,3,99,15
5,29841,130,6,8,1,100,15
5,29842,130,7,4,6,98,15
5,29847,130,8,1,9,97,15
5,29839,130,8,2,7,98,15
5,29838,130,9,0,8,98,15
5,29845,131,9,4,4,99,15
5,29842,131,9,5,2,100,15
5,29841,131,9,6,0,101,15
5,29842,131,10,2,5,99,15
5,29838,131,10,3,3,100,15
5,29841,131,11,0,6,99,15
5,29836,131,11,1,4,100,15
5,29847,132,12,3,1,101,15
5,29845,132,13,1,2,101,15
6,29846,127,1,5,10,96,15
6,29845,128,2,7,7,97,15
6,29847,129,3,10,2,99,15
6,29846,129,3,11,0,100,15
6,29845,128,4,2,11,96,15
6,29844,128,5,0,12,96,15
6,29843,129,5,4,8,97,15
6,29847,130,6,6,5,98,15
6,29843,130,6,7,3,99,15
6,29841,130,6,8,1,100,15
6,29842,130,7,4,6,98,15
6,29847,130,8,1,9,97,15
6,29839,130,8,2,7,98,15
6,29838,130,9,0,8,98,15
6,29845,131,9,4,4,99,15
6,29842,131,9,5,2,100,15
6,29841,131,9,6,0,101,15
6,29842,131,10,2,5,99,15
6,29838,131,10,3,3,100,15
6,29841,131,11,0,6,99,15
6,29836,131,11,1,4,100,15
6,29847,132,12,3,1,101,15
6,29845,132,13,1,2,101,15
7,29846,127,1,5,10,96,15
7,29845,128,2,7,7,97,15
7,29847,129,3,10,2,99,15
7,29846,129,3,11,0,100,15
7,29845,128,4,2,11,96,15
7,29844,128,5,0,12,96,15
7,29843,129,5,4,8,97,15
7,29847,130,6,6,5,98,15
7,29843,130,6,7,3,99,15
7,29841,130,6,8,1,100,15
7,29842,130,7,4,6,98,15
7,29847,130,8,1,9,97,15
7,29839,130,8,2,7,98,15
7,29838,130,9,0,8,98,15
7,29845,131,9,4,4,99,15
7,29842,131,9,5,2,100,15
7,29841,131,9,6,0,101,15
7,29842,131,10,2,5,99,15
7,29838,131,10,3,3,100,15
7,29841,131,11,0,6,99,15
7,29836,131,11,1,4,100,15
7,29847,132,12,3,1,101,15
7,29845,132,13,1,2,101,15
8,29846,127,1,5,10,96,15
8,29845,128,2,7,7,97,15
8,29847,129,3,10,2,99,15
8,29846,129,3,11,0,100,15
8,29845,128,4,2,11,96,15
8,29844,128,5,0,12,96,15
8,29843,129,5,4,8,97,15
8,29847,130,6,6,5,98,15
8,29843,130,6,7,3,99,15
8,29841,130,6,8,1,100,15
8,29842,130,7,4,6,98,15
8,29847,130,8,1,9,97,15
8,29839,130,8,2,7,98,15
8,29838,130,9,0,8,98,15
8,29845,131,9,4,4,99,15
8,29842,131,9,5,2,100,15
8,29841,131,9,6,0,101,15
8,29842,131,10,2,5,99,15
8,29838,131,10,3,3,100,15
8,29841,131,11,0,6,99,15
8,29836,131,11,1,4,100,15
8,29847,132,12,3,1,101,15
8,29845,132,13,1,2,101,15
